attack_type,category,subcategory,description,target_component,impact,owasp_ref,mitre_atlas_ref,severity_range,example_frameworks,real_world_incidents
Prompt Injection,Input Manipulation,Direct Injection,Attacker embeds malicious instructions in user input that override the agent's system prompt or intended behavior.,LLM System Prompt,"Unauthorized actions, data leakage, safety bypass",LLM01:2025,AML.T0051,High to Critical,"LangChain, OpenAI Agents SDK, AutoGPT",Bing Chat DAN jailbreak 2023; ChatGPT markdown injection
Indirect Prompt Injection,Input Manipulation,Environment-Mediated Injection,"Hidden malicious instructions in external content (websites, emails, documents) that an agent reads, hijacking its subsequent actions.","Agent Tool Outputs (Web, Email, Files)","Agent hijacking, data exfiltration, unauthorized actions",LLM01:2025,AML.T0051.001,Critical,"AutoGPT, OpenAI Agents SDK, LangChain",Greshake et al. arXiv:2302.12173; Microsoft Copilot email injection PoC
Tool Poisoning,Supply Chain Attack,Malicious Tool Registration,Attacker registers or modifies an agent's available tools to perform malicious actions while appearing legitimate.,Agent Tool Registry / MCP Server,"Data exfiltration, arbitrary code execution, lateral movement",LLM06:2025,AML.T0054,Critical,"LangChain, CrewAI, OpenAI Agents SDK",Invariant Labs MCP Tool Poisoning PoC 2025
Memory Poisoning,Persistence,Long-Term Memory Corruption,Injection of malicious 'memories' into the agent's persistent memory store (vector DB) that surface in future sessions to influence decisions.,"Agent Memory: Vector Database (ChromaDB, Pinecone)","Persistent agent compromise, biased future decisions, backdoor implantation",LLM03:2025,AML.T0053,High to Critical,"AutoGPT, LangChain, MemGPT","AutoGPT persistent memory injection PoC (GitHub, 2023)"
RAG Poisoning,Data Poisoning,Knowledge Base Contamination,Attacker uploads or injects malicious documents into the agent's Retrieval-Augmented Generation knowledge base to manipulate its responses.,RAG Vector Store / Document Index,"Misinformation, agent hijacking, confidentiality breach",LLM03:2025,AML.T0053.001,High to Critical,"LangChain, LlamaIndex, CrewAI",NVIDIA AI Red Team Phantom Documents attack 2024
Agent Hijacking,Control Takeover,Goal Redirection,"Attacker takes full control of an autonomous agent's goal or action pipeline, redirecting it to perform attacker-defined tasks.",Agent Orchestrator / Goal System,"Complete agent compromise, unauthorized actions at scale",LLM08:2025,AML.T0048,Critical,"AutoGPT, CrewAI, OpenAI Agents SDK",ComPromptMized GenAI Worm arXiv:2403.02817 (2024)
Jailbreak,Guardrail Bypass,Persona Injection,"Attacker bypasses model safety guardrails through role-play, persona-switching, or encoding tricks to elicit harmful outputs.",LLM Safety Guardrails / RLHF Fine-tuning,"Harmful content generation, safety bypass, policy violation",LLM01:2025,AML.T0051,Medium to High,"OpenAI Agents SDK, LangChain, AutoGPT",DAN jailbreak (2023); Many-shot jailbreaking (Anthropic 2024)
Model Supply Chain Attack,Supply Chain Attack,Backdoored Weights,"Malicious model weights with embedded backdoors uploaded to public model repositories (e.g., Hugging Face) and used in agent pipelines.",LLM Model Weights,"Persistent backdoor, triggered malicious behavior, data exfiltration",LLM05:2025,AML.T0018,Critical,"LangChain, LlamaIndex, Hugging Face Transformers",Hugging Face malicious model uploads 2024; PyTorch torchvision supply chain 2022
Excessive Agency Exploitation,Privilege Escalation,Overpermissioned Agent,"Agent given excessive permissions (file system, email, database) is exploited via prompt injection to perform destructive or unauthorized operations.",Agent Permission Model / Tool Scope,"Data deletion, exfiltration, unauthorized system changes",LLM08:2025,AML.T0054,High to Critical,"LangChain, AutoGPT, OpenAI Agents SDK",LangChain Agent with shell tool privilege escalation PoC (2024)
Denial of Service (Prompt Bomb),Availability Attack,Compute Resource Exhaustion,"Specially crafted complex or recursive prompts that force maximum token generation and compute usage, causing API timeouts or financial damage.",LLM API Compute / Token Budget,"Service unavailability, financial cost amplification",LLM04:2025,AML.T0040,Medium to High,All LLM-based agent frameworks,Sponge Examples attack (Shumailov et al. 2021); Token DoS on public endpoints
Training Data Extraction,Data Exfiltration,Memorization Exploitation,"Attacker crafts prompts that cause the LLM to regurgitate memorized training data including PII, proprietary code, or sensitive information.",LLM Training Data,"PII leakage, IP theft, compliance violations (GDPR, HIPAA)",LLM02:2025,AML.T0024,Medium to High,"OpenAI Agents SDK, General LLM APIs",Carlini et al. GPT-2 data extraction; Samsung code leak via ChatGPT 2023
Multi-Agent Orchestrator Compromise,Control Takeover,Pipeline Hijacking,"In multi-agent systems, a compromised sub-agent sends malicious instructions upward to the orchestrator, taking over the entire agent pipeline.",Multi-Agent Orchestrator,"Full pipeline compromise, cascading unauthorized actions",LLM08:2025,AML.T0048,Critical,"CrewAI, AutoGen, LangChain","CrewAI orchestrator injection PoC (Marcus Hallberg, 2025)"
